City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Weather Desc,Rain/Inches,Snow,Wind Speed
55,Hobart,AU,2020-04-18 20:57:34,-42.88,147.33,45.0,87,75,broken clouds,0,0,4.7
56,Thessalon,CA,2020-04-18 21:02:02,46.25,-83.57,53.6,27,75,broken clouds,0,0,16.11
57,Sao Filipe,CV,2020-04-18 20:58:10,14.9,-24.5,71.69,73,14,few clouds,0,0,21.59
58,Kitovo,RU,2020-04-18 21:02:03,56.87,41.28,32.49,89,46,scattered clouds,0,0,5.35
59,Pisco,PE,2020-04-18 21:02:03,-13.7,-76.22,77.0,65,21,few clouds,0,0,11.41
60,Hermanus,ZA,2020-04-18 21:02:03,-34.42,19.23,64.99,57,69,broken clouds,0,0,1.99
61,Mahebourg,MU,2020-04-18 20:57:18,-20.41,57.7,78.8,78,40,scattered clouds,0,0,11.41
62,Marsh Harbour,BS,2020-04-18 21:00:03,26.54,-77.06,80.74,75,44,moderate rain,{'3h': 4.41},0,12.82
63,Vaini,TO,2020-04-18 21:02:04,-21.2,-175.2,78.8,78,75,broken clouds,0,0,11.41
64,Ambon,ID,2020-04-18 20:54:21,-3.7,128.18,82.69,73,70,light rain,{'3h': 1.12},0,2.75
65,Lumeje,AO,2020-04-18 21:02:05,-11.55,20.78,67.32,64,95,light rain,{'3h': 0.24},0,2.44
66,Dikson,RU,2020-04-18 20:57:28,73.51,80.55,35.24,89,100,overcast clouds,0,0,19.1
67,Traverse City,US,2020-04-18 21:02:05,44.76,-85.62,57.2,33,75,broken clouds,0,0,18.34
68,Saurimo,AO,2020-04-18 21:02:05,-9.66,20.39,64.65,70,99,light rain,{'3h': 0.44},0,3.2
69,East London,ZA,2020-04-18 21:02:06,-33.02,27.91,71.22,66,0,clear sky,0,0,17.54
70,Punta Arenas,CL,2020-04-18 20:57:16,-53.15,-70.92,55.4,43,40,scattered clouds,0,0,14.99
71,San Andres,CO,2020-04-18 21:02:06,12.58,-81.7,86.0,66,20,few clouds,0,0,10.29
72,Maragogi,BR,2020-04-18 21:02:06,-9.01,-35.22,81.41,79,100,light rain,{'3h': 1},0,8.39
73,Paracuru,BR,2020-04-18 21:02:07,-3.41,-39.03,84.2,70,40,scattered clouds,0,0,8.05
74,Bluff,NZ,2020-04-18 20:57:14,-46.6,168.33,45.0,90,100,overcast clouds,0,0,8.01
75,Evensk,RU,2020-04-18 21:02:07,61.95,159.23,13.21,88,100,overcast clouds,0,0,11.43
76,Saint George,US,2020-04-18 20:54:47,37.1,-113.58,69.01,30,20,few clouds,0,0,11.41
77,Aksay,RU,2020-04-18 21:02:08,47.26,39.87,46.99,41,100,overcast clouds,0,0,3.65
78,Jizan,SA,2020-04-18 21:00:04,17.33,42.67,87.8,79,20,few clouds,0,0,5.82
79,Puerto Ayora,EC,2020-04-18 21:02:08,-0.74,-90.35,86.0,70,75,shower rain,0,0,8.05
80,Yellowknife,CA,2020-04-18 21:02:08,62.46,-114.35,23.0,85,90,light snow,0,0,14.99
81,Tuktoyaktuk,CA,2020-04-18 20:57:18,69.45,-133.04,8.6,84,40,scattered clouds,0,0,5.82
82,Kodiak,US,2020-04-18 20:59:25,57.79,-152.41,48.2,76,1,clear sky,0,0,11.41
83,Ponta Do Sol,PT,2020-04-18 20:58:11,32.67,-17.1,60.01,58,11,few clouds,0,0,1.66
84,Pevek,RU,2020-04-18 20:57:13,69.7,170.31,-0.81,91,29,scattered clouds,0,0,7.34
85,Lewisporte,CA,2020-04-18 21:02:09,49.25,-55.05,35.6,40,75,broken clouds,0,0,11.41
86,Jamestown,US,2020-04-18 20:56:34,42.1,-79.24,46.0,45,75,broken clouds,0,0,16.11
87,Kaduqli,SD,2020-04-18 21:02:10,11.02,29.72,80.35,13,64,broken clouds,0,0,3.51
88,Saint-Joseph,RE,2020-04-18 21:02:10,-21.37,55.62,77.0,83,20,few clouds,0,0,9.17
89,Hilo,US,2020-04-18 21:02:10,19.73,-155.09,80.6,51,90,overcast clouds,0,0,9.17
90,Nikolskoye,RU,2020-04-18 20:57:47,59.7,30.79,37.4,91,90,overcast clouds,0,0,13.42
91,Pasighat,IN,2020-04-18 21:02:11,28.07,95.33,68.13,76,80,light rain,{'3h': 1.25},0,2.06
92,Avarua,CK,2020-04-18 21:02:11,-21.21,-159.78,82.4,69,54,broken clouds,0,0,9.17
93,San Luis,AR,2020-04-18 21:02:11,-33.3,-66.34,77.85,23,0,clear sky,0,0,20.98
94,Beringovskiy,RU,2020-04-18 21:02:12,63.05,179.32,19.74,96,100,light snow,0,{'3h': 1.19},17.29
95,Floro,NO,2020-04-18 20:58:43,61.6,5.03,42.8,75,0,clear sky,0,0,4.7
96,Svarychiv,UA,2020-04-18 21:02:12,48.96,24.2,38.39,63,19,few clouds,0,0,1.83
97,Asau,RO,2020-04-18 21:02:12,46.43,26.4,48.2,63,22,few clouds,0,0,6.93
98,Moctezuma,MX,2020-04-18 21:02:13,29.8,-109.67,82.29,13,0,clear sky,0,0,22.77
