City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
468,Port Macquarie,AU,55.0,clear sky,-31.43,152.92,Macquarie Waters Boutique Apartment Hotel
469,Kudahuvadhoo,MV,84.63,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
470,Waddan,LY,79.02,overcast clouds,29.16,16.14,محل الشريف محمد العايب
471,Lasa,IT,51.8,broken clouds,46.62,10.7,Haus Ilse & Karl Heinz
472,Goure,NE,82.45,few clouds,13.98,10.27,
473,Topolobampo,MX,77.0,broken clouds,25.6,-109.05,Hotel Marina Topolobampo
474,Cap Malheureux,MU,77.0,scattered clouds,-19.98,57.61,Coin de Mire Attitude Hotel
475,Dalbandin,PK,71.17,overcast clouds,28.89,64.41,Gidaan Guest House
477,Butte,US,68.0,few clouds,39.65,-121.57,
478,Nhulunbuy,AU,81.7,clear sky,-12.23,136.77,
482,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
483,Mahon,ES,60.8,shower rain,39.89,4.27,Hotel San Miguel
485,Mastic Beach,US,55.4,clear sky,40.77,-72.85,
486,Labuhan,ID,79.0,overcast clouds,-6.88,112.21,
488,Arusha,TZ,69.8,broken clouds,-3.37,36.68,Graceland Hotel
489,Port Blair,IN,83.35,clear sky,11.67,92.75,J Hotel
493,Pandaria,IN,82.45,scattered clouds,22.23,81.42,"SC,ST Hostel,Samrupara"
494,Weligama,LK,78.3,few clouds,5.97,80.42,The Frangipani Home
496,Bako,ET,62.71,broken clouds,5.78,36.57,Arkisha Sefer
497,Ybycui,PY,76.98,clear sky,-26.02,-57.05,
500,Lucea,JM,87.8,few clouds,18.45,-78.17,Dream Inn- Formerly West Palm Hotel
502,Kourou,GF,84.2,broken clouds,5.16,-52.65,Lodge Takini 4
503,Dagua,CO,86.0,few clouds,3.66,-76.69,El consuelo FINCA alquiler
505,Belmonte,BR,75.2,light rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
506,Damietta,EG,66.2,clear sky,31.42,31.81,الحاج مسعد الموافي
507,Nata,PA,89.15,few clouds,8.33,-80.52,
